NAME,URL,EMAIL,WEBSITE
"冷藏臭豆腐批發製造,顯新食品有限公司",https://www.iyp.com.tw/0426981941,mitdanhuang@gmail.com,http://www.mit-dango.com
久代食品加工廠,https://www.iyp.com.tw/055850201,dj791219@gmail.com,
中港興食品股份有限公司,https://www.iyp.com.tw/0422712075-3,weco999.taiwan@msa.hinet.net,http://www.wecosih.com.tw
努哇克咖啡事業有限公司,https://www.iyp.com.tw/035251859,luwak.coffee@msa.hinet.net,http://www.luwakcoffee.com.tw
德利豆乾專賣店,https://www.iyp.com.tw/038338039-2,info@derli.com.tw,http://www.hl-derli.com.tw
笑笑豆花冰品,https://www.iyp.com.tw/087360385,t1209926@ms17.hinet.net,http://www.twoec.com.tw/Shop/4112/Main.aspx
聖恩企業股份有限公司,https://www.iyp.com.tw/087792585,sheng.en@msa.hinet.net,http://www.sanhosoy.com.tw
安平周氏豆花,https://www.iyp.com.tw/062238773-2,7611@ms24.url.com.tw,http://home.kimo.com.tw/elas372001
明德豆沙廠,https://www.iyp.com.tw/089336266,mik001007@yahoo.com.tw,
聖華豆腐食品工廠,https://www.iyp.com.tw/063567304,cheerhomefood@yahoo.com.tw,http://www.0800888221.com.tw
茂記安平黑豆花（吳秋茂）,https://www.iyp.com.tw/063911373-2,wife20061108@xuitt.net,http://www.mao-s.com.tw
富記食品有限公司,https://www.iyp.com.tw/0229044566,fuchitop@ms23.hinet.net,http://fuchi.eyp.com.tw
中港興食品股份有限公司,https://www.iyp.com.tw/0422712075-5,weco999.taiwan@msa.hinet.net,http://www.wecosih.com.tw
德揚食品有限公司,https://www.iyp.com.tw/0226730889,teyang237@gmail.com,
豐譽食品工業股份有限公司,https://www.iyp.com.tw/033889900,waLter.LL@msa.hinet.net,http://www.iyp.com.tw/033075075
豐譽食品工業股份有限公司,https://www.iyp.com.tw/033075075-1,walter.ll@msa.hinet.net,
黃日香股份有限公司豆干,https://www.iyp.com.tw/033885456,hrs.t5456@msa.hinet.net,
水河伯豆花,https://www.iyp.com.tw/062458066,s2550758@kimo.com,http://rckyw.myweb.hinet.net/
聖華豆腐食品工廠(容華豆腐食品工廠),https://www.iyp.com.tw/062881021-2,tsai622@yahoo.com.tw,
德利豆乾,https://www.iyp.com.tw/038338039-3,info@derli.com.tw,
協和三兄弟食品有限公司,https://www.iyp.com.tw/0224214602,3brothers@3brothers.com.tw,
老復昌行,https://www.iyp.com.tw/033800777,csh223355@yahoo.com.tw,
禾發國際有限公司,https://www.iyp.com.tw/033509847,itd88chen@yahoo.com.tw,
麒宏食品工業有限公司,https://www.iyp.com.tw/067953142-1,cheerhomefood@yahoo.com.tw,
益多芳食品有限公司,https://www.iyp.com.tw/075363680,m0929568@yahoo.com.tw,
